Distance_to_Zone_km,Recent_Elephant_Count,Time_of_Day,Weather,Risk_Level
0.62,0,Night,Light Rain,HIGH
13.3,1,Dusk,Light Rain,LOW
6.52,24,Afternoon,Heavy Rain,MEDIUM
7.1,1,Night,Light Rain,MEDIUM
6.5,11,Night,Heavy Rain,MEDIUM
4.25,9,Dusk,Clear,HIGH
4.77,8,Morning,Light Rain,MEDIUM
11.29,23,Dusk,Heavy Rain,LOW
12.17,6,Dusk,Light Rain,LOW
0.72,5,Night,Heavy Rain,HIGH
1.24,7,Afternoon,Clear,HIGH
9.57,24,Morning,Clear,LOW
6.31,18,Afternoon,Clear,MEDIUM
4.02,6,Morning,Light Rain,MEDIUM
13.67,19,Night,Clear,LOW
10.12,25,Dusk,Clear,LOW
6.6,19,Afternoon,Light Rain,MEDIUM
9.02,2,Dusk,Heavy Rain,MEDIUM
5.46,8,Dusk,Heavy Rain,LOW
10.33,0,Morning,Heavy Rain,LOW
7.63,22,Morning,Heavy Rain,MEDIUM
12.73,9,Dusk,Light Rain,LOW
6.47,11,Night,Light Rain,MEDIUM
14.02,2,Dusk,Light Rain,LOW
4.83,13,Morning,Light Rain,MEDIUM
13.06,14,Afternoon,Clear,LOW
8.84,16,Morning,Clear,LOW
1.73,6,Morning,Light Rain,HIGH
10.07,5,Afternoon,Heavy Rain,LOW
10.02,12,Afternoon,Light Rain,LOW
12.61,5,Morning,Clear,LOW
2.7,9,Dusk,Clear,HIGH
4.3,16,Dusk,Clear,HIGH
14.45,11,Dusk,Light Rain,LOW
8.33,22,Morning,Heavy Rain,LOW
2.09,17,Morning,Light Rain,CRITICAL
6.31,14,Afternoon,Heavy Rain,MEDIUM
10.01,0,Dusk,Light Rain,LOW
10.52,10,Afternoon,Light Rain,LOW
3.21,13,Night,Light Rain,CRITICAL
13.3,15,Afternoon,Clear,LOW
8.29,6,Afternoon,Light Rain,LOW
1.97,24,Dusk,Clear,CRITICAL
12.18,16,Night,Clear,LOW
7.29,11,Dusk,Light Rain,MEDIUM
0.63,4,Morning,Heavy Rain,HIGH
11.38,17,Afternoon,Light Rain,LOW
5.2,16,Night,Light Rain,MEDIUM
0.89,6,Night,Heavy Rain,CRITICAL
11.68,11,Dusk,Light Rain,LOW
8.45,2,Night,Clear,LOW
8.6,14,Night,Light Rain,LOW
6.6,21,Afternoon,Clear,MEDIUM
3.51,3,Night,Heavy Rain,HIGH
2.26,24,Night,Heavy Rain,CRITICAL
14.17,9,Morning,Light Rain,LOW
3.94,25,Afternoon,Heavy Rain,CRITICAL
12.95,10,Morning,Light Rain,LOW
4.21,21,Morning,Heavy Rain,MEDIUM
3.17,21,Dusk,Light Rain,MEDIUM
2.89,5,Night,Light Rain,HIGH
10.48,3,Morning,Light Rain,LOW
6.58,13,Afternoon,Clear,MEDIUM
9.55,16,Morning,Heavy Rain,LOW
6.88,10,Morning,Clear,MEDIUM
9.54,18,Night,Clear,LOW
10.23,11,Dusk,Heavy Rain,LOW
13.85,13,Night,Heavy Rain,CRITICAL
5.21,7,Afternoon,Heavy Rain,MEDIUM
4.5,15,Morning,Heavy Rain,MEDIUM
0.41,21,Night,Light Rain,CRITICAL
9.18,21,Night,Light Rain,LOW
12.58,6,Afternoon,Clear,LOW
11.8,5,Dusk,Heavy Rain,LOW
8.91,3,Afternoon,Heavy Rain,LOW
0.77,13,Dusk,Heavy Rain,CRITICAL
6.47,19,Dusk,Light Rain,MEDIUM
5.08,18,Night,Heavy Rain,MEDIUM
11.19,19,Afternoon,Light Rain,LOW
2.02,22,Dusk,Light Rain,HIGH
0.5,7,Morning,Light Rain,HIGH
3.33,12,Dusk,Light Rain,LOW
7.75,7,Afternoon,Heavy Rain,MEDIUM
13.15,19,Afternoon,Heavy Rain,LOW
4.31,24,Dusk,Light Rain,HIGH
10.57,3,Morning,Heavy Rain,LOW
14.25,7,Morning,Light Rain,LOW
4.36,15,Afternoon,Light Rain,MEDIUM
14.52,2,Afternoon,Light Rain,LOW
5.98,10,Afternoon,Clear,MEDIUM
9.78,22,Afternoon,Heavy Rain,LOW
11.84,2,Night,Clear,LOW
2.87,4,Dusk,Heavy Rain,HIGH
3.29,22,Dusk,Light Rain,CRITICAL
5.69,13,Night,Light Rain,MEDIUM
11.96,19,Afternoon,Clear,LOW
1.45,3,Dusk,Heavy Rain,HIGH
5.53,21,Dusk,Light Rain,MEDIUM
13.91,6,Dusk,Heavy Rain,LOW
10.96,25,Dusk,Heavy Rain,LOW
0.82,2,Morning,Light Rain,MEDIUM
6.99,2,Dusk,Heavy Rain,MEDIUM
5.99,19,Afternoon,Heavy Rain,MEDIUM
1.72,11,Morning,Heavy Rain,CRITICAL
3.78,20,Morning,Light Rain,CRITICAL
8.63,18,Dusk,Heavy Rain,LOW
12.29,23,Night,Light Rain,LOW
7.37,3,Afternoon,Heavy Rain,MEDIUM
6.42,22,Afternoon,Light Rain,MEDIUM
13.38,16,Night,Clear,LOW
12.29,10,Morning,Heavy Rain,LOW
3.77,21,Night,Clear,CRITICAL
9.63,21,Afternoon,Heavy Rain,LOW
13.06,4,Afternoon,Clear,LOW
8.06,23,Dusk,Clear,LOW
2.64,12,Morning,Heavy Rain,CRITICAL
9.77,21,Dusk,Clear,LOW
1.46,25,Dusk,Heavy Rain,CRITICAL
1.05,6,Morning,Light Rain,HIGH
2.67,15,Dusk,Heavy Rain,CRITICAL
13.74,1,Afternoon,Clear,LOW
13.35,20,Dusk,Light Rain,LOW
4.73,15,Morning,Heavy Rain,MEDIUM
2.61,1,Dusk,Heavy Rain,HIGH
12.43,1,Morning,Light Rain,LOW
12.54,10,Afternoon,Clear,LOW
1.42,5,Morning,Light Rain,HIGH
6.21,5,Night,Light Rain,MEDIUM
6.72,8,Dusk,Light Rain,MEDIUM
3.02,0,Night,Light Rain,LOW
4.05,7,Night,Heavy Rain,HIGH
9.06,19,Morning,Clear,LOW
1.35,21,Morning,Heavy Rain,CRITICAL
10.82,23,Morning,Light Rain,LOW
2.21,19,Night,Light Rain,CRITICAL
1.75,18,Night,Clear,CRITICAL
5.95,1,Night,Clear,MEDIUM
10.84,4,Night,Heavy Rain,LOW
7.36,14,Afternoon,Clear,MEDIUM
5.86,19,Night,Clear,MEDIUM
11.11,2,Night,Heavy Rain,LOW
3.78,1,Afternoon,Heavy Rain,MEDIUM
13.34,22,Dusk,Clear,LOW
0.45,0,Dusk,Clear,HIGH
11.39,4,Dusk,Clear,LOW
14.91,1,Dusk,Clear,LOW
8.98,25,Morning,Light Rain,LOW
14.59,6,Afternoon,Clear,LOW
1.51,24,Night,Clear,CRITICAL
10.75,6,Morning,Heavy Rain,LOW
3.45,14,Morning,Light Rain,CRITICAL
9.97,9,Morning,Light Rain,LOW
5.13,0,Night,Clear,HIGH
13.46,13,Dusk,Light Rain,LOW
11.86,6,Afternoon,Clear,LOW
4.53,10,Afternoon,Heavy Rain,MEDIUM
5.7,9,Morning,Clear,MEDIUM
12.19,9,Dusk,Heavy Rain,LOW
3.34,13,Morning,Light Rain,CRITICAL
2.13,18,Night,Heavy Rain,CRITICAL
14.23,3,Afternoon,Heavy Rain,LOW
6.39,13,Morning,Heavy Rain,MEDIUM
1.36,12,Afternoon,Heavy Rain,CRITICAL
2.8,11,Morning,Light Rain,CRITICAL
12.57,15,Afternoon,Heavy Rain,LOW
5.1,18,Morning,Heavy Rain,MEDIUM
5.1,7,Afternoon,Clear,MEDIUM
9.45,13,Afternoon,Heavy Rain,LOW
1.56,0,Night,Heavy Rain,HIGH
1.89,21,Dusk,Heavy Rain,CRITICAL
1.74,0,Night,Heavy Rain,CRITICAL
6.12,15,Dusk,Clear,MEDIUM
3.01,6,Night,Clear,HIGH
9.62,19,Afternoon,Heavy Rain,LOW
3.25,3,Dusk,Heavy Rain,HIGH
11.35,11,Afternoon,Heavy Rain,LOW
9.85,6,Afternoon,Clear,LOW
4.41,23,Night,Light Rain,HIGH
0.35,1,Night,Clear,HIGH
4.61,10,Dusk,Clear,HIGH
5.38,12,Morning,Heavy Rain,MEDIUM
11.96,24,Dusk,Clear,LOW
6.21,3,Dusk,Clear,MEDIUM
8.29,4,Dusk,Light Rain,LOW
6.59,16,Dusk,Light Rain,MEDIUM
13.21,5,Afternoon,Light Rain,LOW
2.08,13,Night,Light Rain,CRITICAL
8.09,11,Dusk,Clear,LOW
1.6,15,Morning,Light Rain,CRITICAL
4.83,0,Morning,Heavy Rain,LOW
3.06,22,Afternoon,Clear,CRITICAL
10.62,13,Morning,Light Rain,LOW
9.36,10,Night,Light Rain,LOW
5.52,11,Morning,Clear,MEDIUM
3.59,5,Night,Heavy Rain,HIGH
11.54,9,Dusk,Heavy Rain,LOW
6.16,1,Night,Heavy Rain,MEDIUM
10.8,23,Morning,Clear,LOW
11.65,6,Dusk,Light Rain,LOW
9.98,5,Night,Clear,LOW
8.71,2,Morning,Clear,LOW
4.49,9,Morning,Clear,MEDIUM
14.8,15,Night,Clear,LOW
5.87,15,Dusk,Light Rain,MEDIUM
3.8,10,Morning,Light Rain,MEDIUM
0.29,17,Afternoon,Heavy Rain,CRITICAL
13.69,5,Dusk,Light Rain,LOW
7.19,25,Morning,Clear,MEDIUM
8.46,13,Afternoon,Clear,LOW
7.5,21,Dusk,Light Rain,MEDIUM
12.81,19,Dusk,Light Rain,LOW
4.14,10,Dusk,Clear,HIGH
6.36,23,Dusk,Heavy Rain,MEDIUM
0.91,25,Afternoon,Clear,CRITICAL
14.18,7,Morning,Heavy Rain,LOW
9.24,9,Dusk,Light Rain,LOW
0.71,4,Afternoon,Light Rain,HIGH
7.58,23,Afternoon,Light Rain,MEDIUM
1.78,8,Dusk,Clear,CRITICAL
12.97,9,Night,Light Rain,CRITICAL
7.36,6,Morning,Clear,MEDIUM
0.63,10,Afternoon,Clear,HIGH
10.08,0,Afternoon,Light Rain,LOW
9.39,16,Dusk,Light Rain,LOW
11.56,24,Night,Heavy Rain,LOW
9.78,4,Night,Clear,LOW
3.57,23,Night,Clear,HIGH
1.36,5,Morning,Heavy Rain,HIGH
6.62,13,Night,Heavy Rain,MEDIUM
11.57,12,Night,Clear,LOW
7.5,0,Night,Light Rain,LOW
1.05,13,Night,Clear,CRITICAL
9.56,11,Dusk,Heavy Rain,LOW
2.2,21,Dusk,Light Rain,CRITICAL
1.7,0,Morning,Heavy Rain,LOW
12.64,2,Morning,Heavy Rain,LOW
2.24,22,Dusk,Heavy Rain,CRITICAL
13.6,19,Dusk,Heavy Rain,LOW
11.27,19,Morning,Light Rain,LOW
14.18,1,Dusk,Heavy Rain,LOW
14.01,21,Morning,Heavy Rain,LOW
11.47,15,Dusk,Clear,LOW
10.78,23,Morning,Clear,LOW
1.55,22,Afternoon,Heavy Rain,CRITICAL
13.45,1,Dusk,Light Rain,LOW
4.23,24,Night,Heavy Rain,HIGH
4.05,2,Morning,Clear,MEDIUM
13.62,8,Night,Light Rain,LOW
5.93,15,Afternoon,Light Rain,MEDIUM
7.17,7,Morning,Heavy Rain,MEDIUM
13.0,23,Night,Heavy Rain,LOW
4.15,21,Afternoon,Light Rain,MEDIUM
3.52,21,Morning,Clear,CRITICAL
2.74,16,Dusk,Heavy Rain,CRITICAL
9.49,19,Dusk,Light Rain,LOW
0.83,16,Afternoon,Light Rain,CRITICAL
13.51,25,Morning,Clear,MEDIUM
13.78,13,Afternoon,Light Rain,LOW
10.39,5,Night,Heavy Rain,LOW
5.57,7,Afternoon,Heavy Rain,MEDIUM
13.36,6,Morning,Heavy Rain,LOW
8.95,20,Dusk,Clear,LOW
9.02,0,Dusk,Heavy Rain,LOW
9.59,15,Afternoon,Clear,LOW
5.34,6,Night,Heavy Rain,MEDIUM
1.34,2,Morning,Heavy Rain,MEDIUM
1.19,9,Dusk,Clear,CRITICAL
9.5,5,Afternoon,Heavy Rain,LOW
4.18,0,Morning,Clear,LOW
5.71,4,Dusk,Light Rain,MEDIUM
11.75,25,Morning,Light Rain,LOW
12.6,18,Dusk,Heavy Rain,LOW
11.02,18,Afternoon,Clear,LOW
4.29,14,Morning,Heavy Rain,MEDIUM
12.57,9,Morning,Clear,LOW
8.79,22,Afternoon,Light Rain,LOW
11.23,17,Afternoon,Light Rain,LOW
4.22,9,Morning,Heavy Rain,MEDIUM
6.65,22,Night,Clear,MEDIUM
1.12,24,Morning,Clear,MEDIUM
12.51,19,Night,Heavy Rain,LOW
2.39,10,Afternoon,Light Rain,HIGH
2.0,19,Afternoon,Light Rain,CRITICAL
11.12,16,Afternoon,Heavy Rain,LOW
3.92,12,Morning,Heavy Rain,CRITICAL
13.96,8,Night,Light Rain,LOW
10.04,18,Dusk,Heavy Rain,LOW
9.67,6,Dusk,Light Rain,LOW
10.53,12,Morning,Heavy Rain,LOW
3.47,23,Dusk,Light Rain,CRITICAL
5.37,3,Morning,Clear,HIGH
12.88,18,Night,Light Rain,LOW
10.2,5,Dusk,Heavy Rain,LOW
7.2,22,Night,Light Rain,MEDIUM
6.22,16,Night,Light Rain,MEDIUM
10.34,13,Night,Heavy Rain,LOW
10.83,10,Afternoon,Clear,LOW
0.79,21,Night,Clear,CRITICAL
0.8,18,Afternoon,Clear,CRITICAL
14.11,1,Night,Heavy Rain,LOW
5.89,6,Afternoon,Light Rain,MEDIUM
4.95,5,Night,Light Rain,HIGH
5.32,19,Morning,Light Rain,MEDIUM
11.19,23,Afternoon,Clear,LOW
4.76,10,Night,Heavy Rain,HIGH
11.99,18,Afternoon,Heavy Rain,LOW
3.14,7,Morning,Clear,MEDIUM
12.47,5,Night,Heavy Rain,LOW
3.43,9,Dusk,Light Rain,HIGH
11.28,2,Night,Light Rain,LOW
2.36,10,Morning,Clear,HIGH
4.33,2,Morning,Clear,MEDIUM
10.79,16,Morning,Clear,LOW
1.13,10,Night,Light Rain,CRITICAL
2.24,2,Morning,Heavy Rain,MEDIUM
1.91,6,Night,Heavy Rain,HIGH
14.03,2,Morning,Light Rain,LOW
14.93,10,Morning,Clear,LOW
4.91,12,Dusk,Light Rain,HIGH
12.88,19,Dusk,Heavy Rain,LOW
8.15,21,Morning,Clear,LOW
11.56,13,Night,Heavy Rain,LOW
10.5,20,Afternoon,Heavy Rain,LOW
13.69,6,Dusk,Heavy Rain,LOW
12.75,24,Afternoon,Light Rain,LOW
12.18,0,Night,Clear,LOW
0.43,19,Morning,Clear,CRITICAL
7.17,18,Morning,Clear,MEDIUM
3.23,1,Dusk,Heavy Rain,HIGH
8.22,18,Afternoon,Clear,LOW
14.54,3,Morning,Heavy Rain,LOW
2.86,19,Morning,Clear,MEDIUM
7.52,14,Dusk,Light Rain,MEDIUM
7.62,15,Morning,Heavy Rain,MEDIUM
0.37,1,Night,Clear,HIGH
0.7,15,Night,Light Rain,CRITICAL
14.45,8,Dusk,Heavy Rain,LOW
1.08,9,Morning,Heavy Rain,HIGH
0.97,3,Night,Heavy Rain,HIGH
1.41,3,Morning,Clear,HIGH
0.79,21,Afternoon,Light Rain,CRITICAL
9.49,8,Night,Heavy Rain,LOW
1.48,11,Afternoon,Heavy Rain,CRITICAL
1.68,16,Morning,Heavy Rain,CRITICAL
2.43,6,Afternoon,Heavy Rain,HIGH
5.01,8,Night,Heavy Rain,MEDIUM
2.19,21,Morning,Light Rain,CRITICAL
10.8,5,Dusk,Clear,LOW
1.95,25,Morning,Heavy Rain,CRITICAL
0.91,24,Afternoon,Clear,CRITICAL
10.78,21,Morning,Clear,LOW
1.65,17,Morning,Clear,CRITICAL
1.51,25,Afternoon,Light Rain,CRITICAL
9.03,14,Morning,Light Rain,LOW
3.12,6,Dusk,Clear,HIGH
5.54,0,Night,Heavy Rain,LOW
2.38,10,Night,Light Rain,HIGH
13.22,15,Afternoon,Heavy Rain,LOW
5.33,2,Morning,Clear,MEDIUM
11.49,10,Dusk,Light Rain,LOW
10.49,5,Morning,Clear,LOW
10.6,0,Morning,Heavy Rain,LOW
1.69,18,Afternoon,Heavy Rain,CRITICAL
1.46,16,Afternoon,Clear,CRITICAL
2.47,10,Morning,Light Rain,HIGH
13.67,20,Afternoon,Heavy Rain,LOW
10.09,11,Morning,Clear,LOW
14.84,22,Night,Clear,LOW
13.84,7,Morning,Clear,LOW
14.95,18,Afternoon,Heavy Rain,LOW
3.79,25,Dusk,Heavy Rain,CRITICAL
12.58,21,Dusk,Heavy Rain,LOW
9.35,13,Dusk,Heavy Rain,LOW
5.01,7,Dusk,Light Rain,MEDIUM
5.45,9,Dusk,Light Rain,MEDIUM
3.07,19,Night,Light Rain,CRITICAL
12.59,1,Night,Clear,LOW
2.76,19,Afternoon,Light Rain,CRITICAL
7.4,15,Morning,Clear,MEDIUM
14.42,8,Night,Heavy Rain,LOW
2.27,15,Morning,Heavy Rain,CRITICAL
4.5,19,Morning,Heavy Rain,MEDIUM
12.74,2,Dusk,Clear,LOW
10.58,2,Afternoon,Heavy Rain,LOW
6.31,5,Dusk,Clear,MEDIUM
8.86,1,Morning,Heavy Rain,LOW
6.44,23,Afternoon,Clear,MEDIUM
11.56,23,Dusk,Light Rain,LOW
7.53,8,Night,Heavy Rain,MEDIUM
5.92,14,Night,Light Rain,MEDIUM
0.87,7,Dusk,Heavy Rain,CRITICAL
2.1,7,Night,Light Rain,CRITICAL
9.5,2,Dusk,Heavy Rain,LOW
3.66,11,Night,Heavy Rain,CRITICAL
11.21,19,Morning,Heavy Rain,LOW
2.53,24,Night,Light Rain,CRITICAL
4.88,14,Afternoon,Heavy Rain,MEDIUM
12.77,19,Afternoon,Heavy Rain,LOW
4.1,9,Dusk,Clear,HIGH
10.55,10,Morning,Clear,LOW
8.7,5,Morning,Light Rain,LOW
10.56,4,Night,Light Rain,LOW
13.16,12,Dusk,Light Rain,LOW
7.68,23,Dusk,Heavy Rain,MEDIUM
6.78,15,Morning,Clear,MEDIUM
1.38,7,Night,Clear,CRITICAL
5.42,19,Dusk,Light Rain,MEDIUM
12.17,21,Night,Light Rain,LOW
5.47,15,Night,Light Rain,MEDIUM
2.77,8,Morning,Light Rain,HIGH
3.24,18,Dusk,Heavy Rain,CRITICAL
1.0,9,Afternoon,Light Rain,HIGH
10.92,1,Afternoon,Heavy Rain,LOW
3.77,3,Morning,Heavy Rain,MEDIUM
1.7,5,Afternoon,Heavy Rain,HIGH
9.31,14,Afternoon,Clear,LOW
2.79,11,Night,Clear,CRITICAL
12.6,2,Night,Clear,LOW
14.2,17,Afternoon,Light Rain,CRITICAL
5.29,1,Dusk,Heavy Rain,MEDIUM
10.55,21,Afternoon,Heavy Rain,LOW
10.58,5,Afternoon,Light Rain,LOW
5.12,9,Morning,Heavy Rain,MEDIUM
3.63,7,Night,Light Rain,HIGH
3.1,15,Night,Light Rain,CRITICAL
0.19,12,Dusk,Clear,CRITICAL
0.58,11,Morning,Clear,CRITICAL
6.93,24,Morning,Heavy Rain,LOW
11.07,15,Dusk,Light Rain,LOW
14.76,25,Morning,Light Rain,LOW
6.8,3,Afternoon,Heavy Rain,LOW
14.25,23,Morning,Clear,LOW
2.85,15,Morning,Light Rain,CRITICAL
7.52,15,Afternoon,Clear,MEDIUM
3.76,7,Night,Light Rain,HIGH
1.81,5,Dusk,Heavy Rain,HIGH
6.29,14,Dusk,Clear,MEDIUM
13.82,12,Morning,Clear,LOW
4.66,10,Dusk,Light Rain,HIGH
1.46,4,Afternoon,Light Rain,HIGH
6.68,5,Afternoon,Heavy Rain,MEDIUM
1.27,13,Morning,Clear,CRITICAL
13.15,7,Dusk,Clear,LOW
6.65,7,Morning,Light Rain,MEDIUM
12.93,14,Night,Light Rain,LOW
8.73,6,Morning,Heavy Rain,LOW
3.8,9,Night,Heavy Rain,HIGH
5.58,17,Morning,Light Rain,MEDIUM
4.05,20,Dusk,Heavy Rain,HIGH
12.99,16,Afternoon,Clear,CRITICAL
5.48,17,Dusk,Heavy Rain,MEDIUM
10.22,24,Night,Light Rain,LOW
9.43,21,Afternoon,Clear,LOW
12.37,25,Dusk,Light Rain,LOW
0.33,18,Morning,Heavy Rain,CRITICAL
10.34,0,Morning,Heavy Rain,LOW
11.32,6,Dusk,Light Rain,LOW
13.35,22,Dusk,Heavy Rain,LOW
4.15,25,Dusk,Clear,HIGH
7.77,15,Morning,Heavy Rain,MEDIUM
8.21,23,Night,Light Rain,LOW
8.64,21,Afternoon,Clear,LOW
0.69,20,Night,Heavy Rain,CRITICAL
13.86,6,Dusk,Light Rain,LOW
7.94,23,Dusk,Heavy Rain,MEDIUM
6.28,5,Morning,Heavy Rain,LOW
10.06,7,Night,Clear,LOW
1.2,4,Night,Heavy Rain,HIGH
12.55,2,Night,Clear,LOW
10.52,2,Dusk,Clear,LOW
12.2,1,Morning,Heavy Rain,LOW
11.82,10,Afternoon,Heavy Rain,LOW
11.7,20,Night,Heavy Rain,LOW
14.2,20,Afternoon,Heavy Rain,LOW
10.97,11,Night,Light Rain,LOW
3.53,22,Morning,Heavy Rain,CRITICAL
6.57,24,Morning,Clear,MEDIUM
9.33,20,Dusk,Light Rain,LOW
3.04,5,Dusk,Heavy Rain,HIGH
12.7,6,Afternoon,Light Rain,LOW
3.43,14,Night,Light Rain,CRITICAL
3.03,6,Afternoon,Heavy Rain,MEDIUM
0.6,20,Morning,Clear,CRITICAL
3.2,21,Afternoon,Light Rain,CRITICAL
6.94,9,Afternoon,Heavy Rain,CRITICAL
4.87,6,Night,Light Rain,HIGH
14.38,14,Morning,Clear,LOW
6.45,8,Night,Light Rain,MEDIUM
13.73,15,Night,Clear,LOW
10.1,6,Morning,Heavy Rain,LOW
13.11,12,Afternoon,Light Rain,LOW
10.88,24,Night,Clear,LOW
7.97,11,Dusk,Clear,MEDIUM
6.12,7,Dusk,Light Rain,MEDIUM
12.9,1,Afternoon,Light Rain,LOW
3.88,3,Morning,Light Rain,MEDIUM
7.35,12,Night,Light Rain,MEDIUM
0.22,12,Night,Clear,CRITICAL
8.64,1,Afternoon,Light Rain,LOW
12.95,1,Dusk,Light Rain,LOW
4.14,14,Night,Clear,HIGH
10.12,1,Night,Light Rain,LOW
13.92,21,Afternoon,Heavy Rain,LOW
11.83,0,Afternoon,Light Rain,LOW
3.96,15,Night,Clear,CRITICAL
4.9,10,Night,Light Rain,HIGH
12.3,0,Dusk,Clear,LOW
1.67,14,Afternoon,Clear,CRITICAL
6.25,16,Night,Heavy Rain,MEDIUM
11.4,24,Night,Heavy Rain,LOW
3.36,0,Afternoon,Light Rain,LOW
5.94,11,Night,Light Rain,MEDIUM
3.53,8,Afternoon,Light Rain,MEDIUM
11.71,5,Night,Heavy Rain,LOW
9.77,11,Morning,Light Rain,LOW
1.67,2,Night,Clear,HIGH
5.88,17,Morning,Light Rain,MEDIUM
3.61,4,Afternoon,Heavy Rain,MEDIUM
12.53,25,Morning,Heavy Rain,LOW
4.96,7,Afternoon,Clear,MEDIUM
8.48,6,Afternoon,Clear,LOW
0.71,12,Morning,Light Rain,CRITICAL
4.44,18,Morning,Heavy Rain,LOW
3.93,11,Afternoon,Clear,CRITICAL
2.77,14,Morning,Heavy Rain,CRITICAL
8.18,1,Afternoon,Light Rain,LOW
14.81,21,Morning,Heavy Rain,LOW
6.47,4,Afternoon,Heavy Rain,MEDIUM
9.51,16,Morning,Light Rain,LOW
11.69,10,Dusk,Light Rain,LOW
12.95,5,Afternoon,Clear,LOW
12.92,8,Night,Light Rain,LOW
9.02,4,Dusk,Clear,LOW
1.37,17,Morning,Light Rain,CRITICAL
10.33,7,Afternoon,Heavy Rain,LOW
2.12,1,Morning,Heavy Rain,MEDIUM
2.88,13,Dusk,Light Rain,CRITICAL
10.33,23,Afternoon,Light Rain,LOW
9.96,24,Morning,Clear,LOW
6.0,19,Morning,Clear,MEDIUM
2.33,4,Morning,Clear,CRITICAL
2.02,22,Dusk,Light Rain,CRITICAL
13.57,5,Morning,Clear,LOW
10.55,25,Afternoon,Light Rain,LOW
11.86,22,Afternoon,Heavy Rain,LOW
1.54,4,Morning,Light Rain,HIGH
8.85,7,Dusk,Light Rain,LOW
1.94,10,Morning,Heavy Rain,HIGH
7.1,22,Morning,Clear,MEDIUM
8.28,2,Morning,Light Rain,LOW
3.23,21,Night,Light Rain,CRITICAL
5.01,17,Afternoon,Heavy Rain,MEDIUM
12.62,7,Morning,Light Rain,LOW
7.34,13,Dusk,Heavy Rain,MEDIUM
4.35,11,Dusk,Light Rain,HIGH
10.99,2,Dusk,Heavy Rain,LOW
5.75,22,Afternoon,Heavy Rain,MEDIUM
1.69,14,Dusk,Light Rain,CRITICAL
7.48,13,Morning,Light Rain,MEDIUM
0.24,15,Morning,Heavy Rain,CRITICAL
10.2,21,Afternoon,Clear,LOW
12.33,5,Morning,Light Rain,LOW
7.54,8,Night,Light Rain,MEDIUM
3.76,22,Night,Clear,CRITICAL
7.45,6,Night,Light Rain,MEDIUM
6.62,25,Night,Light Rain,MEDIUM
5.25,24,Night,Heavy Rain,MEDIUM
11.4,12,Morning,Light Rain,LOW
7.72,10,Morning,Clear,MEDIUM
11.09,12,Night,Light Rain,LOW
10.71,13,Afternoon,Clear,LOW
1.55,21,Night,Light Rain,CRITICAL
11.97,14,Dusk,Clear,LOW
5.22,25,Afternoon,Light Rain,MEDIUM
5.36,20,Afternoon,Heavy Rain,MEDIUM
13.16,11,Night,Heavy Rain,LOW
13.98,12,Morning,Clear,LOW
12.06,22,Morning,Heavy Rain,LOW
9.23,25,Morning,Clear,LOW
6.14,2,Afternoon,Clear,MEDIUM
13.62,11,Night,Heavy Rain,LOW
10.27,5,Night,Light Rain,LOW
7.77,0,Morning,Light Rain,LOW
13.25,18,Morning,Heavy Rain,LOW
9.36,19,Afternoon,Light Rain,MEDIUM
6.48,4,Night,Heavy Rain,MEDIUM
14.18,19,Morning,Light Rain,LOW
1.24,21,Night,Light Rain,CRITICAL
4.88,14,Dusk,Heavy Rain,HIGH
0.41,6,Dusk,Heavy Rain,CRITICAL
1.56,3,Night,Clear,HIGH
7.75,15,Dusk,Heavy Rain,MEDIUM
14.4,4,Morning,Heavy Rain,LOW
1.96,19,Morning,Clear,CRITICAL
12.98,22,Morning,Heavy Rain,LOW
4.82,7,Morning,Light Rain,MEDIUM
13.62,9,Morning,Light Rain,LOW
8.72,15,Night,Heavy Rain,LOW
14.9,25,Dusk,Light Rain,LOW
8.74,17,Morning,Light Rain,LOW
6.56,22,Night,Clear,MEDIUM
9.44,23,Night,Heavy Rain,LOW
0.44,18,Afternoon,Light Rain,CRITICAL
11.91,23,Dusk,Heavy Rain,LOW
10.38,25,Afternoon,Light Rain,LOW
3.5,23,Morning,Clear,CRITICAL
14.5,6,Dusk,Light Rain,LOW
3.55,12,Morning,Clear,CRITICAL
4.23,1,Dusk,Light Rain,MEDIUM
8.07,13,Morning,Heavy Rain,LOW
14.51,16,Dusk,Light Rain,LOW
7.96,0,Morning,Heavy Rain,LOW
7.33,9,Dusk,Heavy Rain,MEDIUM
9.15,13,Night,Heavy Rain,MEDIUM
6.83,21,Dusk,Light Rain,MEDIUM
2.79,15,Morning,Heavy Rain,CRITICAL
9.17,5,Morning,Clear,LOW
1.16,14,Dusk,Light Rain,CRITICAL
9.39,6,Night,Light Rain,LOW
14.54,10,Morning,Light Rain,LOW
14.52,21,Afternoon,Light Rain,LOW
10.04,3,Afternoon,Light Rain,HIGH
8.38,20,Morning,Heavy Rain,LOW
10.34,14,Dusk,Heavy Rain,HIGH
13.7,9,Dusk,Light Rain,LOW
4.03,7,Afternoon,Clear,MEDIUM
6.32,22,Dusk,Heavy Rain,MEDIUM
13.92,3,Dusk,Heavy Rain,LOW
10.76,22,Afternoon,Clear,CRITICAL
12.16,6,Night,Heavy Rain,LOW
4.61,17,Night,Heavy Rain,HIGH
14.44,7,Dusk,Heavy Rain,LOW
0.22,8,Afternoon,Light Rain,HIGH
12.71,25,Afternoon,Clear,LOW
2.45,10,Night,Light Rain,HIGH
